Location,CellNo,VoltMean,ResistMean,TempMean
24th Street Station,1,2.290775280898875,0.28494382022471865,22.85224719101125
24th Street Station,2,2.27267415730337,0.2784775280898878,23.009550561797745
24th Street Station,3,2.280539325842696,0.2731067415730336,22.78202247191013
24th Street Station,4,2.2584550561797743,0.30478089887640414,22.71629213483146
24th Street Station,5,2.2916573033707843,0.3810337078651686,22.757865168539333
24th Street Station,6,2.2835819209039556,0.23974011299435008,23.063841807909597
24th Street Station,7,2.2639943502824855,0.23743502824858748,22.709604519774004
24th Street Station,8,2.2832372881355942,0.26203389830508494,22.675706214689257
24th Street Station,9,2.2885112359550543,0.32575280898876435,22.75449438202247
24th Street Station,10,2.280050561797753,0.29587078651685367,23.09382022471909
24th Street Station,11,2.276101123595504,0.25250000000000017,22.876966292134846
24th Street Station,12,2.2962640449438214,0.33884269662921396,22.884269662921355
24th Street Station,13,2.28341011235955,0.27824157303370733,22.821910112359564
24th Street Station,14,2.272623595505617,0.23612359550561798,22.554494382022472
24th Street Station,15,2.277949152542372,0.3301355932203393,22.729943502824863
24th Street Station,16,2.263090395480226,0.2538926553672318,22.96327683615819
24th Street Station,17,2.2574606741573002,0.30550561797752773,22.88089887640451
24th Street Station,18,2.2848483146067413,0.27990449438202225,22.99719101123596
24th Street Station,19,2.281662921348314,0.2773089887640444,22.82359550561798
24th Street Station,20,2.2701853932584273,0.3198483146067418,22.812921348314607
24th Street Station,21,2.2587808988764038,0.24016292134831455,22.966292134831477
24th Street Station,22,2.2807344632768354,0.23904519774011287,23.014689265536724
24th Street Station,23,2.2813050847457625,0.23672881355932182,23.08361581920903
24th Street Station,24,2.2743841807909595,0.25538418079096065,22.659322033898295
24th Street Station,25,2.277797752808987,0.588387640449438,22.956741573033707
24th Street Station,26,2.2818314606741565,0.23791011235955012,23.021348314606737
24th Street Station,27,2.272426966292134,0.23636516853932568,23.015730337078644
24th Street Station,28,2.2810337078651677,0.2672640449438199,22.944382022471924
24th Street Station,29,2.28688202247191,0.2618707865168543,23.19606741573034
24th Street Station,30,2.2645141242937843,0.37121468926553663,23.145762711864414
24th Street Station,31,2.2660056497175116,0.2519152542372881,22.884180790960453
24th Street Station,32,2.265604519774009,0.2608587570621471,23.28531073446328
24th Street Station,33,2.2770280898876405,0.25495505617977543,22.901685393258436
24th Street Station,34,2.262106741573033,0.24135955056179773,22.95337078651685
24th Street Station,35,2.267550561797752,0.44251685393258394,22.930898876404484
24th Street Station,36,2.2684044943820196,0.2712415730337082,22.978651685393242
24th Street Station,37,2.2543707865168523,0.2823876404494377,22.899438202247197
24th Street Station,38,2.2739378531073458,0.24357627118644093,23.019209039548016
24th Street Station,39,2.2666384180790944,0.27576271186440715,22.991525423728802
24th Street Station,40,2.263265536723162,0.2792090395480227,23.085310734463267
24th Street Station,41,2.2578651685393236,0.27847752808988746,23.255617977528086
24th Street Station,42,2.267112359550561,0.291162921348314,23.048876404494376
24th Street Station,43,2.2745617977528085,0.28637078651685366,23.374719101123596
24th Street Station,44,2.2561235955056156,0.29753932584269643,23.01853932584268
24th Street Station,45,2.255213483146068,0.25914044943820236,22.882022471910098
24th Street Station,46,2.266584269662921,0.27139325842696677,22.930898876404477
24th Street Station,47,2.2547514124293784,0.23769491525423692,23.51920903954802
24th Street Station,48,2.2764632768361572,0.27759887005649775,22.993220338983047
24th Street Station,49,2.2885617977528083,0.3087640449438202,22.55786516853933
24th Street Station,50,2.2677191011235944,0.33381460674157337,22.646067415730343
24th Street Station,51,2.263629213483145,0.26199999999999996,22.894943820224704
24th Street Station,52,2.274196629213482,0.2846123595505611,22.887640449438198
24th Street Station,53,2.2826797752808985,0.2654157303370788,22.840449438202242
24th Street Station,54,2.258910112359549,0.24601685393258382,22.727528089887652
24th Street Station,55,2.260265536723162,0.27335593220339016,22.092090395480227
24th Street Station,56,2.2680451977401126,0.24637288135593177,22.44858757062147
24th Street Station,57,2.2631853932584276,0.24341011235955026,22.408426966292126
24th Street Station,58,2.288494382022473,0.24230898876404483,22.510674157303377
24th Street Station,59,2.2854887640449446,0.2379213483146065,22.541011235955054
24th Street Station,60,2.2430674157303376,0.2404213483146066,22.635955056179764
Balboa Park Station,1,2.1982471910112364,0.2305730337078656,23.709550561797755
Balboa Park Station,2,2.1997584269662913,0.2603202247191013,24.03202247191011
Balboa Park Station,3,2.2352921348314614,0.271662921348315,24.017977528089887
Balboa Park Station,4,2.223747191011236,0.2988707865168536,23.433146067415727
Balboa Park Station,5,2.2383146067415725,0.25325842696629214,23.92977528089887
Balboa Park Station,6,2.230297752808988,0.3824887640449438,24.112359550561802
Balboa Park Station,7,2.220595505617977,0.2435561797752809,24.009550561797745
Balboa Park Station,8,2.227361581920905,0.24746327683615804,23.821468926553674
Balboa Park Station,9,2.190280898876404,0.2809494382022464,24.079213483146074
Balboa Park Station,10,2.1982752808988777,0.2854775280898873,23.963483146067414
Balboa Park Station,11,2.201988764044944,0.365926966292135,24.23033707865167
Balboa Park Station,12,2.191410112359549,0.29439325842696623,24.11067415730338
Balboa Park Station,13,2.222213483146068,0.22985393258426975,23.753932584269656
Balboa Park Station,14,2.2177191011235977,0.2219157303370786,23.914044943820222
Balboa Park Station,15,2.222774011299436,0.26575706214689276,24.272881355932196
Balboa Park Station,16,2.2172937853107353,0.49580790960452026,24.632203389830515
Balboa Park Station,17,2.214494382022471,0.30021910112359484,24.11685393258428
